time_1,temperature_1,time_2,temperature_2,time_3,temperature_3,time_4,temperature_4,time_5,temperature_5
228.2,60.6,231.3,59.9,92.36666666666666,55.9,161.16666666666666,92.6,410.1,46.2
235.93333333333334,60.1,239.13333333333333,59.3,95.5,55.4,166.63333333333333,52.3,424.0,46.7
243.86666666666667,59.5,247.16666666666666,58.8,98.7,55.0,172.23333333333332,51.8,438.23333333333335,47.1
251.96666666666667,59.1,255.36666666666667,58.5,101.96666666666667,54.6,177.96666666666667,51.3,452.76666666666665,47.6
260.23333333333335,58.6,263.76666666666665,57.9,105.33333333333333,54.1,183.8,50.9,467.6666666666667,48.0
268.73333333333335,58.0,272.3666666666667,57.6,108.76666666666667,53.7,189.8,50.4,482.93333333333334,48.5
277.43333333333334,57.5,281.1666666666667,56.9,112.26666666666667,53.3,195.93333333333334,49.9,498.53333333333336,48.9
286.3,57.1,290.2,56.5,115.86666666666666,52.9,202.2,49.4,514.5,49.4
295.4,56.6,299.4,55.8,119.56666666666666,52.5,208.63333333333333,49.0,530.8666666666667,49.9
304.73333333333335,56.2,308.8333333333333,55.3,123.33333333333333,52.1,215.23333333333332,48.6,547.6,50.4
314.26666666666665,55.7,318.5,55.1,127.2,51.6,221.96666666666667,48.2,564.7333333333333,50.9
324.0,55.1,328.4,54.5,131.13333333333333,51.2,228.83333333333334,47.9,582.2666666666667,51.4
334.0,54.5,338.53333333333336,53.8,135.16666666666666,50.7,235.9,47.4,600.2,51.9
344.2,53.9,348.8666666666667,53.2,139.33333333333334,50.3,243.1,46.9,618.5666666666667,52.4
354.6666666666667,53.5,359.46666666666664,53.3,143.56666666666666,49.9,250.5,46.5,637.3666666666667,52.9
365.3666666666667,53.0,370.3333333333333,52.5,147.9,49.4,258.06666666666666,46.1,656.6,53.4
376.3333333333333,52.5,381.43333333333334,51.5,152.33333333333334,48.9,265.8,45.7,676.3,54.0
387.56666666666666,52.1,392.8,51.0,156.86666666666667,48.5,273.73333333333335,45.3,696.4666666666667,54.4
399.03333333333336,51.6,404.43333333333334,50.7,161.5,48.1,281.8333333333333,44.9,717.1,55.0
410.8,51.2,416.3666666666667,50.0,166.26666666666668,47.7,290.1333333333333,44.4,738.2,55.6
422.8333333333333,50.8,428.53333333333336,49.8,171.13333333333333,47.3,298.6333333333333,43.9,759.8,56.1
435.1333333333333,50.4,441.03333333333336,49.4,176.13333333333333,46.8,307.3333333333333,43.4,781.9333333333333,56.6
447.73333333333335,49.9,453.8,48.9,181.23333333333332,46.4,316.23333333333335,43.1,804.5666666666667,57.2
460.6333333333333,49.3,466.8666666666667,48.6,186.43333333333334,46.0,325.3333333333333,42.6,827.7666666666667,57.7
473.8333333333333,48.8,480.23333333333335,47.9,191.76666666666668,45.6,334.6666666666667,42.2,851.4666666666667,58.3
487.3333333333333,48.3,493.93333333333334,47.5,197.26666666666668,45.2,344.2,41.8,875.7666666666667,58.8
501.1666666666667,47.8,507.96666666666664,47.1,202.83333333333334,44.8,353.96666666666664,41.4,900.6,59.4
515.3333333333334,47.3,522.3,46.9,208.56666666666666,44.4,363.96666666666664,41.0,926.0333333333333,59.9
529.8,46.8,537.0,46.2,214.43333333333334,43.9,374.2,40.6,952.0666666666667,60.4
544.6333333333333,46.3,552.0333333333333,45.5,220.43333333333334,43.4,384.6666666666667,40.1,978.7333333333333,60.9
559.8333333333334,45.8,567.4,45.4,226.6,43.0,395.4,39.6,1006.0,61.5
575.3666666666667,45.2,583.1333333333333,44.6,232.86666666666667,42.5,406.3666666666667,39.2,1033.9,62.0
591.2666666666667,44.8,599.2666666666667,44.3,239.3,42.1,417.6,38.8,1062.5,62.6
607.5333333333333,44.4,615.7666666666667,44.0,245.9,41.7,429.1,38.5,1091.7333333333333,63.1
624.2,43.9,632.6333333333333,43.7,252.63333333333333,41.3,440.8666666666667,38.1,1121.6666666666667,63.6
641.2333333333333,43.4,649.9333333333333,43.1,259.53333333333336,40.9,452.9,37.7,1152.3,64.1
658.7,42.9,667.6,42.6,266.6,40.5,465.23333333333335,37.3,1183.6666666666667,64.7
676.5333333333333,42.4,685.7,42.1,273.8333333333333,40.0,477.8333333333333,36.9,1215.7666666666667,65.2
694.8333333333334,42.0,704.2333333333333,41.7,281.23333333333335,39.6,490.73333333333335,36.5,1248.6,65.8
713.5333333333333,41.5,723.2,41.2,288.8,39.2,503.96666666666664,36.0,1282.2333333333333,66.3
732.7,41.1,742.6,40.8,296.56666666666666,38.8,517.5,35.6,1316.6333333333334,66.8
752.3,40.6,762.4666666666667,40.4,304.5,38.3,531.3333333333334,35.3,1351.8666666666666,67.3
772.3666666666667,40.1,782.8333333333334,39.9,312.6,37.9,545.5,34.9,1387.9333333333334,67.8
792.9,39.7,803.6333333333333,39.5,320.93333333333334,37.5,560.0,34.4,1424.8333333333333,68.3
813.9,39.2,824.9333333333333,39.0,329.43333333333334,37.2,574.8666666666667,34.0,1462.6,68.7
835.4333333333333,38.7,846.7333333333333,38.5,338.1333333333333,36.8,590.0666666666667,33.6,1501.2666666666667,69.0
857.4333333333333,38.2,869.0666666666667,38.0,347.06666666666666,36.4,605.6,33.2,1540.8333333333333,69.5
879.9666666666667,37.7,891.9,37.8,356.1666666666667,36.1,621.5333333333333,32.9,1581.3333333333333,70.0
